#T-T0 Mag Mag_error  Instrument Filter Note
#(days) (mag) (mag)  () () ()
2.9046 21.82 0.19  UVOT w2  AB  mag 
3.9702 21.72 0.18  UVOT w2  AB  mag 
7.3570 22.35 0.27  UVOT w2  AB  mag 
11.2145 22.49 0.27  UVOT w2  AB  mag 
14.0664 22.44 0.28  UVOT w2  AB  mag 
16.0938 22.20 0.24  UVOT w2  AB  mag 
18.0603 22.32 0.32  UVOT w2  AB  mag 
21.4015 22.43 0.32  UVOT w2  AB  mag 
23.1356 22.32 0.28  UVOT w2  AB  mag 
24.4629 21.96 0.22  UVOT w2  AB  mag 
0.0145 18.998 0.086  GROND g'  AB  mag 
1.0404 18.693 0.043  GROND g'  AB  mag 
2.0066 19.087 0.045  GROND g'  AB  mag 
3.0189 19.087 0.043  GROND g'  AB  mag 
4.0154 18.921 0.042  GROND g'  AB  mag 
5.0180 18.747 0.042  GROND g'  AB  mag 
6.0244 18.588 0.042  GROND g'  AB  mag 
7.0078 18.378 0.043  GROND g'  AB  mag 
8.0095 18.331 0.042  GROND g'  AB  mag 
8.9806 18.240 0.041  GROND g'  AB  mag 
10.9902 18.154 0.041  GROND g'  AB  mag 
12.0265 18.168 0.041  GROND g'  AB  mag 
14.0005    — —    GROND g'  AB  mag 
15.0141 18.344 0.041  GROND g'  AB  mag 
16.0146 18.437 0.041  GROND g'  AB  mag 
16.9808 18.512 0.041  GROND g'  AB  mag 
17.9892 18.639 0.043  GROND g'  AB  mag 
19.0471 18.742 0.041  GROND g'  AB  mag 
20.0100 18.825 0.041  GROND g'  AB  mag 
21.0200 18.924 0.041  GROND g'  AB  mag 
23.0096 19.044 0.041  GROND g'  AB  mag 
25.0149 19.167 0.042  GROND g'  AB  mag 
27.0138 19.177 0.044  GROND g'  AB  mag 
0.0145 18.835 0.048  GROND r'  AB  mag 
1.0404 18.559 0.041  GROND r'  AB  mag 
2.0066 18.900 0.042  GROND r'  AB  mag 
3.0189 18.939 0.041  GROND r'  AB  mag 
4.0154 18.743 0.041  GROND r'  AB  mag 
5.0180 18.559 0.041  GROND r'  AB  mag 
6.0244 18.360 0.041  GROND r'  AB  mag 
7.0078 18.120 0.041  GROND r'  AB  mag 
8.0095 18.039 0.041  GROND r'  AB  mag 
8.9806 17.930 0.041  GROND r'  AB  mag 
10.9902 17.749 0.041  GROND r'  AB  mag 
12.0265 17.677 0.041  GROND r'  AB  mag 
14.0005 17.596 0.045  GROND r'  AB  mag 
15.0141 17.616 0.040  GROND r'  AB  mag 
16.0146 17.636 0.040  GROND r'  AB  mag 
16.9808 17.633 0.040  GROND r'  AB  mag 
17.9892 17.695 0.041  GROND r'  AB  mag 
19.0471 17.725 0.040  GROND r'  AB  mag 
20.0100 17.768 0.041  GROND r'  AB  mag 
21.0200 17.815 0.041  GROND r'  AB  mag 
